rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
0.0,5903,7568000,7568,1000.0,1281,0.05,0.0001,1.2952206134286826e-06,1879499
0.0,5906,7572000,7572,1000.0,1281,0.05,0.0001,1.4149363778415136e-06,1880499
0.0,5910,7576000,7576,1000.0,1281,0.05,0.0001,9.034746426550555e-07,1881499
0.0,5913,7580000,7580,1000.0,1281,0.05,0.0001,2.160708390874788e-06,1882499
0.0,5916,7584000,7584,1000.0,1281,0.05,0.0001,4.656270903069526e-06,1883499
0.0,5919,7588000,7588,1000.0,1281,0.05,0.0001,4.423518021212658e-06,1884499
0.0,5923,7592000,7592,1000.0,1281,0.05,0.0001,2.5589524739189073e-06,1885499
0.0,5926,7596000,7596,1000.0,1281,0.05,0.0001,1.14134923023812e-06,1886499
0.0,5929,7600000,7600,1000.0,1281,0.05,0.0001,1.8793120943882968e-06,1887499
0.0,5933,7604000,7604,1000.0,1281,0.05,0.0001,1.984082700801082e-06,1888499
0.0,5936,7608000,7608,1000.0,1281,0.05,0.0001,4.77176763524767e-06,1889499
0.0,5939,7612000,7612,1000.0,1281,0.05,0.0001,3.069442072956008e-06,1890499
0.0,5942,7616000,7616,1000.0,1281,0.05,0.0001,2.0877504880445485e-07,1891499
0.0,5946,7620000,7620,1000.0,1281,0.05,0.0001,1.185254745905695e-06,1892499
0.0,5949,7624000,7624,1000.0,1281,0.05,0.0001,6.383663730957778e-07,1893499
0.0,5952,7628000,7628,1000.0,1281,0.05,0.0001,3.822574853984406e-06,1894499
0.0,5955,7632000,7632,1000.0,1281,0.05,0.0001,5.4217371143749915e-06,1895499
0.0,5959,7636000,7636,1000.0,1281,0.05,0.0001,3.620664585923805e-07,1896499
0.0,5962,7640000,7640,1000.0,1281,0.05,0.0001,7.953605745569803e-06,1897499
0.0,5965,7644000,7644,1000.0,1281,0.05,0.0001,7.731894129392458e-07,1898499
0.0,5968,7648000,7648,1000.0,1281,0.05,0.0001,2.125741957570426e-06,1899499
0.0,5972,7652000,7652,1000.0,1281,0.05,0.0001,1.192459421872627e-06,1900499
0.0,5975,7656000,7656,1000.0,1281,0.05,0.0001,5.104301408209722e-07,1901499
0.0,5978,7660000,7660,1000.0,1281,0.05,0.0001,6.5713197727745865e-06,1902499
0.0,5982,7664000,7664,1000.0,1281,0.05,0.0001,1.1174906831001863e-06,1903499
0.0,5985,7668000,7668,1000.0,1281,0.05,0.0001,2.336578290851321e-06,1904499
0.0,5988,7672000,7672,1000.0,1281,0.05,0.0001,8.343007721123286e-06,1905499
0.0,5991,7676000,7676,1000.0,1281,0.05,0.0001,4.4412631723389495e-06,1906499
