time/episodes,time/fps,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/loss,train/learning_rate,train/n_updates
344,1627,0.6248000000000001,1000.0,3.44,344000,211,0.0015656596515327692,0.0001,73499
348,1624,0.6216000000000005,1000.0,3.44,348000,214,4.696874748333357e-05,0.0001,74499
352,1622,0.6184,1000.0,3.37,352000,216,0.000134232483105734,0.0001,75499
356,1619,0.6152000000000003,1000.0,3.31,356000,219,4.5491680793929845e-05,0.0001,76499
360,1616,0.6119999999999998,1000.0,3.51,360000,222,0.00016747048357501626,0.0001,77499
364,1613,0.6088000000000001,1000.0,3.63,364000,225,0.0014092241181060672,0.0001,78499
368,1610,0.6056000000000005,1000.0,3.56,368000,228,5.687319935532287e-05,0.0001,79499
372,1608,0.6023999999999999,1000.0,3.5,372000,231,0.0033169512171298265,0.0001,80499
376,1605,0.5992000000000003,1000.0,3.49,376000,234,0.0022356221452355385,0.0001,81499
380,1603,0.5959999999999998,1000.0,3.43,380000,237,0.003984600771218538,0.0001,82499
384,1600,0.5928000000000001,1000.0,3.54,384000,239,5.405854608397931e-05,0.0001,83499
388,1597,0.5896000000000005,1000.0,3.58,388000,242,0.00011894285853486508,0.0001,84499
392,1595,0.5863999999999999,1000.0,3.98,392000,245,0.005281640216708183,0.0001,85499
396,1592,0.5832000000000003,1000.0,4.0,396000,248,0.003319075331091881,0.0001,86499
400,1589,0.5799999999999997,1000.0,3.9,400000,251,0.0032858371268957853,0.0001,87499
404,1587,0.5768000000000001,1000.0,4.01,404000,254,0.00012221100041642785,0.0001,88499
408,1584,0.5736000000000004,1000.0,3.79,408000,257,0.0001981577806873247,0.0001,89499
412,1581,0.5704,1000.0,3.72,412000,260,0.003923776093870401,0.0001,90499
416,1579,0.5672000000000003,1000.0,3.46,416000,263,0.004747329279780388,0.0001,91499
420,1576,0.5639999999999997,1000.0,3.63,420000,266,0.009171849116683006,0.0001,92499
424,1574,0.5608000000000001,1000.0,3.59,424000,269,0.003492411458864808,0.0001,93499
428,1571,0.5576000000000005,1000.0,3.48,428000,272,0.0032263975590467453,0.0001,94499
